,game_id,team_id,HoA,won,settled_in,head_coach,goals,shots,hits,pim,blocks,faceoffWinningPctg,powerPlayConversion
282,2021020036,4,home,True,REG,Alain Vigneault,6,27.0,26,40,8,61.5,0/2
283,2021020036,55,away,False,REG,Dave Hakstol,1,24.0,25,46,7,38.5,0/4
284,2021020037,20,home,False,OT,Darryl Sutter,2,43.0,14,9,6,53.8,0/3
285,2021020037,24,away,True,OT,Dallas Eakins,3,27.0,14,11,19,46.2,1/2
286,2021020038,53,home,False,REG,André Tourigny,4,26.0,12,18,6,50.9,1/4
287,2021020038,19,away,True,REG,Craig Berube,7,33.0,15,16,13,49.1,1/2
288,2021020039,7,home,True,REG,Don Granato,5,43.0,14,6,5,52.1,0/3
289,2021020039,23,away,False,REG,Travis Green,2,34.0,10,6,10,47.9,0/3
290,2021020040,8,home,False,REG,Dominique Ducharme,0,21.0,31,10,11,38.0,0/2
291,2021020040,28,away,True,REG,Bob Boughner,5,25.0,20,6,19,62.0,2/4
292,2021020041,17,home,True,REG,Jeff Blashill,4,45.0,11,8,12,49.2,0/4
293,2021020041,29,away,False,REG,Brad Larsen,1,23.0,11,8,7,50.8,1/4
294,2021020042,14,home,False,REG,Jon Cooper,1,31.0,26,6,15,60.9,0/6
295,2021020042,13,away,True,REG,Joel Quenneville,4,32.0,25,12,10,39.1,1/3
296,2021020043,1,home,True,REG,Lindy Ruff,4,33.0,16,35,17,48.7,0/3
297,2021020043,55,away,False,REG,Dave Hakstol,2,29.0,12,41,11,51.3,1/5
298,2021020044,5,home,False,OT,Mike Sullivan,1,28.0,32,2,8,41.7,0/0
299,2021020044,25,away,True,OT,Rick Bowness,2,29.0,38,2,16,58.3,0/0
300,2021020045,15,home,True,REG,Peter Laviolette,6,40.0,20,10,11,55.2,0/3
301,2021020045,21,away,False,REG,Jared Bednar,3,27.0,15,8,14,44.8,1/4
302,2021020046,16,home,False,REG,Jeremy Colliton,1,40.0,34,9,12,42.9,0/3
303,2021020046,2,away,True,REG,Barry Trotz,4,29.0,44,11,19,57.1,0/2
304,2021020047,18,home,True,REG,John Hynes,2,31.0,14,4,12,59.6,1/2
305,2021020047,26,away,False,REG,Todd McLellan,1,26.0,16,4,18,40.4,0/2
306,2021020048,30,home,True,OT,Dean Evason,6,44.0,25,19,22,60.7,3/5
307,2021020048,52,away,False,OT,Paul Maurice,5,30.0,16,17,16,39.3,2/6
308,2021020049,22,home,True,REG,Dave Tippett,6,37.0,22,4,17,58.1,2/6
309,2021020049,24,away,False,REG,Dallas Eakins,5,36.0,29,12,14,41.9,0/1
