,game_id,player_id,team_id,time_on_ice,pim,even_strength_shots_against,saves_shots_against,power_play_shots_against,goals_against
1915,2022020640,8478435,20,40:29,0.0,13/14,13/14,0/0,1
1916,2022020641,8478872,53,57:22,0.0,18/21,24/27,6/6,3
1917,2022020641,8479193,5,59:59,0.0,14/15,23/24,5/5,1
1918,2022020642,8479406,30,56:27,0.0,16/17,21/23,5/6,2
1919,2022020642,8471306,19,59:44,0.0,28/28,35/35,6/6,0
1920,2022020643,8479394,4,59:42,0.0,21/25,29/35,3/4,6
1921,2022020643,8476899,10,60:00,0.0,29/31,34/36,3/3,2
1922,2022020644,8476434,24,60:00,0.0,32/38,35/42,2/3,7
1923,2022020644,8480280,6,60:00,0.0,20/21,28/29,7/7,1
1924,2022020645,8475660,9,58:12,0.0,19/22,33/36,13/13,3
1925,2022020645,8477424,18,60:00,0.0,24/24,38/38,14/14,0
1926,2022020646,8478470,8,58:00,0.0,28/30,37/40,9/10,3
1927,2022020646,8474889,55,60:00,0.0,17/17,21/21,3/3,0
1928,2022020647,8477831,26,59:44,0.0,19/22,28/31,8/8,3
1929,2022020647,8475789,22,34:57,0.0,9/10,11/13,2/3,2
1930,2022020647,8479973,22,23:51,0.0,13/13,21/24,6/9,3
1931,2022020648,8476883,14,60:00,0.0,18/21,21/24,2/2,3
1932,2022020648,8478007,29,60:00,2.0,36/39,40/46,3/6,6
1933,2022020649,8478048,3,65:00,0.0,28/31,29/32,1/1,3
1934,2022020649,8470594,30,64:32,0.0,33/36,40/43,7/7,3
1935,2022020650,8481611,12,58:55,0.0,13/17,18/22,5/5,4
1936,2022020650,8477970,1,60:00,0.0,18/19,25/28,4/4,3
1937,2022020651,8477480,7,57:45,0.0,18/21,18/22,0/1,4
1938,2022020651,8475831,55,60:00,0.0,26/28,32/35,6/7,3
1939,2022020652,8479193,5,07:05,0.0,2/5,2/5,0/0,3
1940,2022020652,8474682,5,52:11,0.0,14/15,18/19,2/2,1
1941,2022020652,8477484,23,58:01,0.0,21/24,31/36,10/12,5
1942,2022020653,8478009,2,65:00,0.0,23/24,25/26,1/1,1
1943,2022020653,8479979,25,65:00,0.0,25/25,27/28,2/3,1
1944,2022020654,8478024,17,59:46,0.0,31/35,32/37,1/2,5
1945,2022020654,8476945,52,57:33,0.0,11/16,16/22,3/4,6
1946,2022020655,8476412,19,60:28,0.0,26/29,28/31,2/2,3
1947,2022020655,8474593,20,60:28,0.0,23/26,23/27,0/1,4
1948,2022020656,8480382,21,58:40,0.0,27/30,33/37,5/6,5
1949,2022020656,8475683,13,60:00,0.0,25/29,27/31,2/2,4
1950,2022020657,8478872,53,57:37,0.0,27/31,29/33,2/2,4
1951,2022020657,8478039,28,60:00,0.0,22/24,27/29,5/5,2
1952,2022020658,8476899,10,60:00,0.0,23/24,32/33,7/7,1
1953,2022020658,8477424,18,58:49,0.0,27/28,33/35,4/5,2
1954,2022020659,8479394,4,59:53,0.0,23/26,26/29,0/0,3
1955,2022020659,8475311,15,58:23,0.0,29/31,31/35,2/3,4
1956,2022020660,8476434,24,40:00,0.0,29/34,31/37,1/2,6
