game_id,team_id,time_on_ice,pim,shots,saves,power_play_saves,short_handed_saves,goals_against,save_percentage
2000020151,25,3615,0.0,30,26,5,1,4,86.66666667
2000020151,19,3615,0.0,24,21,5,0,3,87.5
2000020152,22,3600,0.0,29,25,5,0,4,86.20689655
2000020152,21,3591,0.0,27,25,6,1,2,92.59259259
2000020153,26,3542,0.0,27,24,0,2,3,88.88888889
2000020153,27,3600,0.0,18,17,5,2,1,94.44444444
2000020154,11,3896,2.0,32,30,9,1,2,93.75
2000020154,28,3900,0.0,30,28,2,3,2,93.33333333
2000020155,6,606,0.0,7,6,1,0,1,85.71428571
2000020155,6,2989,0.0,33,29,9,1,4,87.87878788
2000020155,3,3600,0.0,32,31,3,3,1,96.875
2000020156,15,3900,0.0,31,30,8,0,1,96.77419355
2000020156,4,3898,0.0,22,21,2,3,1,95.45454545
2000020157,19,3593,0.0,32,31,7,0,1,96.875
2000020157,12,3600,0.0,30,26,1,3,4,86.66666667
2000020158,16,3600,0.0,26,24,7,0,2,92.30769231
2000020158,30,3547,0.0,19,16,9,0,3,84.21052632
2000020159,24,3600,0.0,25,22,6,0,3,88.0
2000020159,20,3597,0.0,27,21,1,0,6,77.77777778
2000020160,27,3600,0.0,45,45,7,3,0,100.0
2000020160,21,3600,0.0,16,12,1,0,4,75.0
2000020161,24,3508,0.0,37,32,5,1,5,86.48648649
2000020161,22,3600,0.0,19,16,2,1,3,84.21052632
2000020162,10,3537,0.0,24,20,2,0,4,83.33333333
2000020162,9,3600,0.0,23,20,8,0,3,86.95652174
2000020163,6,3506,0.0,12,9,2,0,3,75.0
2000020163,2,3579,0.0,34,32,1,4,2,94.11764706
2000020164,17,3600,0.0,35,29,6,0,6,82.85714286
2000020164,15,3600,0.0,24,22,3,0,2,91.66666667
2000020165,14,3707,0.0,32,26,3,0,6,81.25
2000020165,14,23,0.0,0,0,0,0,0,
2000020165,12,3750,0.0,25,20,2,0,5,80.0
2000020166,26,3561,0.0,30,27,7,3,3,90.0
2000020166,29,3600,0.0,46,45,14,1,1,97.82608696
2000020167,19,3600,0.0,22,20,11,1,2,90.90909091
2000020167,18,3532,0.0,26,23,7,1,3,88.46153846
2000020168,17,3600,0.0,22,20,6,1,2,90.90909091
2000020168,8,3566,0.0,38,34,11,2,4,89.47368421
2000020169,4,3893,0.0,33,32,1,0,1,96.96969697
2000020169,1,3900,0.0,29,28,2,0,1,96.55172414
2000020170,14,2670,0.0,28,22,4,0,6,78.57142857
2000020170,14,927,0.0,8,8,0,0,0,100.0
2000020170,3,3597,0.0,32,31,2,0,1,96.875
2000020171,2,3600,0.0,23,23,7,3,0,100.0
2000020171,13,3600,0.0,31,28,10,1,3,90.32258065
2000020172,29,3589,0.0,29,25,2,0,4,86.20689655
2000020172,25,3600,0.0,14,14,0,0,0,100.0
2000020173,20,2856,0.0,18,18,3,0,0,100.0
2000020173,20,684,0.0,8,5,1,0,3,62.5
2000020173,22,3600,0.0,29,27,2,0,2,93.10344828
2000020174,21,3537,0.0,24,20,2,1,4,83.33333333
2000020174,23,3600,0.0,37,34,4,2,3,91.89189189
2000020175,27,3891,0.0,26,25,7,2,1,96.15384615
2000020175,24,3896,0.0,16,15,6,0,1,93.75
2000020176,5,3563,0.0,33,30,8,1,3,90.90909091
2000020176,28,3591,0.0,26,24,1,1,2,92.30769231
2000020177,16,3523,0.0,26,21,2,1,5,80.76923077
2000020177,6,3595,0.0,23,19,6,0,4,82.60869565
2000020178,1,2784,0.0,25,22,6,0,3,88.0
2000020178,1,816,0.0,7,5,1,0,2,71.42857143
2000020178,10,3600,0.0,23,20,2,2,3,86.95652174
2000020179,3,3524,2.0,38,32,4,0,6,84.21052632
2000020179,9,3600,0.0,37,32,8,0,5,86.48648649
2000020180,18,3600,0.0,28,27,8,1,1,96.42857143
2000020180,4,3564,0.0,19,17,0,3,2,89.47368421
2000020181,26,3600,0.0,24,22,5,3,2,91.66666667
2000020181,11,3600,0.0,30,25,2,0,5,83.33333333
2000020182,15,3559,2.0,25,24,3,2,1,96.0
2000020182,19,3600,0.0,30,30,7,0,0,100.0
2000020183,8,2763,0.0,10,8,1,1,2,80.0
2000020183,8,816,0.0,5,2,1,0,3,40.0
2000020183,7,3599,0.0,35,31,9,2,4,88.57142857
2000020184,2,3765,0.0,33,29,1,2,4,87.87878788
2000020184,14,3660,0.0,34,31,5,1,3,91.17647059
2000020184,14,73,0.0,1,1,0,0,0,100.0
2000020185,16,3600,0.0,31,30,4,0,1,96.77419355
2000020185,17,1740,0.0,26,22,2,1,4,84.61538462
2000020185,17,1853,0.0,10,8,1,0,2,80.0
2000020186,12,1139,0.0,5,5,0,0,0,100.0
2000020186,12,2396,0.0,18,14,3,0,4,77.77777778
2000020186,21,3600,0.0,26,23,5,1,3,88.46153846
2000020187,30,3600,0.0,19,16,3,0,3,84.21052632
2000020187,22,3600,0.0,20,20,3,1,0,100.0
2000020188,5,3600,0.0,32,30,5,1,2,93.75
2000020188,23,3549,0.0,13,10,2,2,3,76.92307692
2000020189,25,3884,0.0,17,15,3,0,2,88.23529412
2000020189,27,3900,0.0,32,30,5,0,2,93.75
2000020190,11,2400,0.0,23,21,6,1,2,91.30434783
2000020190,11,1200,0.0,12,11,5,0,1,91.66666667
2000020190,6,1200,0.0,8,6,1,0,2,75.0
2000020190,6,2400,0.0,19,13,0,2,6,68.42105263
2000020191,3,3600,0.0,37,35,6,0,2,94.59459459
2000020191,8,3594,0.0,23,18,1,1,5,78.26086957
2000020192,29,3900,0.0,27,25,6,0,2,92.59259259
2000020192,9,3900,0.0,18,16,3,0,2,88.88888889
2000020193,26,3596,0.0,34,33,1,0,1,97.05882353
2000020193,1,3570,0.0,16,14,4,0,2,87.5
2000020194,7,3600,0.0,24,21,0,0,3,87.5
2000020194,4,3600,0.0,18,18,3,0,0,100.0
2000020195,15,3600,0.0,34,32,6,1,2,94.11764706
2000020195,13,3521,0.0,30,27,8,1,3,90.0
2000020196,10,3900,0.0,36,36,8,0,0,100.0
2000020196,19,3897,0.0,16,16,3,0,0,100.0
2000020197,24,3900,0.0,23,20,6,1,3,86.95652174
2000020197,18,3900,0.0,24,21,8,0,3,87.5
2000020198,5,3900,0.0,21,20,3,1,1,95.23809524
2000020198,20,3899,0.0,32,31,8,0,1,96.875
2000020199,12,3580,0.0,28,24,9,0,4,85.71428571
2000020199,28,3600,0.0,20,19,4,0,1,95.0
2000020200,6,2396,0.0,26,21,6,2,5,80.76923077
2000020200,6,1180,0.0,10,8,5,0,2,80.0
2000020200,10,3600,0.0,22,21,5,1,1,95.45454545
2000020201,26,3597,0.0,31,30,6,0,1,96.77419355
2000020201,2,3528,0.0,26,23,3,3,3,88.46153846
2000020202,15,3600,0.0,26,21,10,0,5,80.76923077
2000020202,14,3600,0.0,26,24,2,3,2,92.30769231
2000020203,22,3584,0.0,29,27,8,2,2,93.10344828
2000020203,29,3546,0.0,29,26,8,1,3,89.65517241
2000020204,24,15,0.0,0,0,0,0,0,
2000020204,24,3555,0.0,36,33,10,0,3,91.66666667
2000020204,16,3600,0.0,17,15,2,1,2,88.23529412
2000020205,30,3791,0.0,24,22,0,1,2,91.66666667
2000020205,20,3791,0.0,29,26,3,0,3,89.65517241
2000020206,28,3900,0.0,24,22,2,1,2,91.66666667
2000020206,23,3893,0.0,19,17,3,1,2,89.47368421
2000020207,9,3600,0.0,33,31,5,1,2,93.93939394
2000020207,11,3557,0.0,20,17,1,1,3,85.0
2000020208,18,3538,0.0,30,28,0,0,2,93.33333333
2000020208,2,3600,0.0,33,32,4,2,1,96.96969697
2000020209,22,3579,0.0,41,37,6,4,4,90.24390244
2000020209,3,3583,0.0,21,18,3,0,3,85.71428571
2000020210,30,3600,0.0,27,25,2,0,2,92.59259259
2000020210,21,3600,0.0,23,23,0,1,0,100.0
2000020211,27,3900,2.0,29,26,5,0,3,89.65517241
2000020211,26,3900,0.0,25,22,4,0,3,88.0
2000020212,12,1668,0.0,8,5,0,0,3,62.5
2000020212,12,1928,0.0,15,13,5,1,2,86.66666667
2000020212,10,3600,0.0,27,27,3,1,0,100.0
2000020213,18,3600,0.0,36,33,5,1,3,91.66666667
2000020213,1,3597,0.0,36,32,10,1,4,88.88888889
2000020214,4,1600,0.0,13,12,2,0,1,92.30769231
